Folder,File,Spots1,Spots2,Spots3,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object11.tif_projection.tif,403,2135,460,2233709,1855.4971,106.4184,2761,178
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object4.tif_projection.tif,783,4591,918,7016961,2404.1558,106.8406,2408,141
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object0.tif_projection.tif,579,3489,693,4364691,2213.2524,106.4421,2059,153
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object6.tif_projection.tif,708,2096,737,5154438,2545.4497,106.0502,2125,125
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object4.tif_projection.tif,489,2904,581,3374541,2273.2397,106.9456,2579,164
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object3.tif_projection.tif,667,3806,769,5642960,2209.9275,106.5561,2244,136
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object1.tif_projection.tif,895,6117,1096,5935855,2484.0654,106.8797,2248,130
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object2.tif_projection.tif,528,2910,603,3293464,1927.2623,106.7747,2998,164
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object5.tif_projection.tif,610,2503,655,5773769,3855.4478,106.3488,8621,143
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object4.tif_projection.tif,295,1604,319,1817510,2248.5784,106.8297,2753,159
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object0.tif_projection.tif,499,1982,543,4255778,2644.6914,106.8527,2449,183
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object7.tif_projection.tif,409,2390,469,3979488,2366.2778,106.6789,2296,152
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well4_Object1.tif_projection.tif,74,920,152,2708887,2248.1187,105.964,2858,148
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object6.tif_projection.tif,1030,4842,1193,7016464,2273.885,106.6942,2578,153
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object5.tif_projection.tif,664,3783,829,3780721,1898.4523,106.842,3166,179
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object3.tif_projection.tif,498,2707,611,4443169,2113.7812,106.6677,2154,149
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well4_Object4.tif_projection.tif,35,266,43,996509,1662.9969,106.9571,3145,209
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well4_Object6.tif_projection.tif,8,165,13,2686071,1072.7078,105.9208,2788,133
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object7.tif_projection.tif,404,2087,471,2462557,2088.4534,106.6479,2809,157
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well4_Object3.tif_projection.tif,131,637,143,3047868,1655.1311,105.4146,3951,127
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well4_Object2.tif_projection.tif,23,285,42,3878607,1289.3608,105.5477,2717,137
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object1.tif_projection.tif,455,1178,482,3802187,2609.7952,106.8503,3086,234
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object2.tif_projection.tif,852,4624,1010,6854830,2144.9153,107.0337,2409,153
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object6.tif_projection.tif,1173,6460,1434,8799722,2681.2463,106.5217,2615,163
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object0.tif_projection.tif,0,0,0,267822,117.7892,106.9178,452,182
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object5.tif_projection.tif,436,2416,511,3748514,2515.8167,107.0401,2819,171
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object3.tif_projection.tif,444,1088,487,4799066,3266.9338,106.4466,12947,162
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object8.tif_projection.tif,571,4274,696,4700264,2054.061,106.2923,2361,134
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object7.tif_projection.tif,367,1446,403,4887574,3073.822,106.099,2812,172
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well4_Object0.tif_projection.tif,117,585,144,3246982,1663.3325,106.4262,8429,204
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object10.tif_projection.tif,519,3010,599,3260721,2393.8149,106.7945,1734,141
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well2_Object2.tif_projection.tif,359,1859,396,3500038,3609.0291,106.7024,3300,172
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well4_Object5.tif_projection.tif,396,2571,577,3352341,3386.854,106.1545,4425,164
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object1.tif_projection.tif,328,1716,385,2329954,2215.8123,106.8178,2694,184
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well1_Object8.tif_projection.tif,675,4025,866,3906392,2301.2603,106.9694,1801,148
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_135736_625/,Plate000_Well3_Object9.tif_projection.tif,683,4034,799,5918171,2869.6609,106.4712,2337,125
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object4.tif_projection.tif,225,2058,287,2905376,2013.1814,106.4135,2633,136
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object7.tif_projection.tif,275,2133,363,3070719,2443.186,106.8163,2589,199
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object3.tif_projection.tif,477,2782,536,4515841,1973.8571,106.2685,2136,176
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object10.tif_projection.tif,365,2413,438,3708185,2093.0461,106.2704,2272,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object2.tif_projection.tif,515,2520,642,5816902,2094.7007,105.9145,2377,140
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object6.tif_projection.tif,295,1648,364,2967248,1993.6027,106.5896,2670,149
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object5.tif_projection.tif,260,1957,324,2722759,1977.579,106.2374,2432,183
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object9.tif_projection.tif,250,1650,323,3305601,2316.4973,106.5668,3600,196
