Slide no.,Primary name,Secondary name,Batch,Plate,Well
Slide1,csnk2a,2dpa,20200728_091910_390,0,1
Slide2,tgfbr1,2dpa,20200728_091910_390,0,2
Slide3,ptpnr11,2dpa,20200728_091910_390,0,3
Slide4,ptpnr4,2dpa,20200728_091910_390,0,4
Slide5,pak1,2dpa,20200728_091910_390,1,1
Slide 6,cdk12,2dpa,20200728_091910_390,1,2
Slide 7,unc,2dpa,20200728_091910_390,1,3
Slide 8,csnk2a,5dpa,20200728_091910_390,1,4
Slide 9,tgfbr1,5dpa,20200728_091910_390,2,1
Slide 10,ptpnr11,5dpa,20200728_091910_390,2,2
Slide 11,ptpnr4,5dpa,20200728_091910_390,2,3
Slide 12,pak1,5dpa,20200728_091910_390,2,4
Slide 13,cdk12,5dpa,20200728_091910_390,3,1
Slide 14,unc,5dpa,20200728_091910_390,3,2
Slide 15,csnk2a,7dpa,20200728_091910_390,3,3
Slide 16,tgfbr1,7dpa,20200728_091910_390,3,4
Slide 17,ptpnr11,7dpa,20200728_135736_625,0,1
Slide 18,ptpnr4,7dpa,20200728_135736_625,0,2
Slide 19,pak1,7dpa,20200728_135736_625,0,3
Slide 20,cdk12,7dpa,20200728_135736_625,0,4
Slide 21,unc,7dpa,20200728_143341_677,0,1
